model,precision@5,recall@5,ndcg@5,mrr@5,map@5,precision@10,recall@10,ndcg@10,mrr@10,map@10,precision@20,recall@20,ndcg@20,mrr@20,map@20
Popularity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Content-Based,0.0,0.0,0.0,0.0,0.0,0.0017,0.0056,0.0023,0.0017,0.0006,0.0008,0.0056,0.0023,0.0017,0.0006
SVD (Collaborative),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0056,0.0018,0.0009,0.0003
Hybrid + MMR (λ=0.75),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
