restaurant_id,name,city,area,address,latitude,longitude,location_source,location_precision,cuisines,rest_type,cost_for_two_inr,price_tier,rating,review_count,online_order,book_table,dish_liked
8862,Bhagini Icon Boutique Hotel,Bengaluru,Indiranagar,"210, 1st Main A Cross, ESI Hospital Road, Near Domlur Club, Indiranagar, Bangalore",12.9784,77.6408,Bengaluru locality centroid,locality-level,"South Indian, North Indian, Continental",Casual Dining,600,Moderate,3.1,6,True,False,
8863,Venus Bake Point,Bengaluru,Old Airport Road,"Lakshmi Complex, Wind Tunnel Road, Hal Road, Opposite Airforce Camp,Murugeshpalya, Old Airport Road, Bangalore",12.959,77.653,Bengaluru locality centroid,locality-level,Bakery,Bakery,500,Moderate,3.5,6,True,False,
8864,Nandanavanam,Bengaluru,Old Airport Road,"NAL Wind Tunnel Road, Dada Mastan Layout, Murgeshpalya, Old Airport Road, Bangalore, Bengaluru",12.959,77.653,Bengaluru locality centroid,locality-level,South Indian,Quick Bites,300,Budget,3.3,6,False,False,
8865,Ambur Biriyani Centre,Bengaluru,Bellandur,"55/8, Devarabisanahalli, Outer Ring Road",12.9304,77.6784,Bengaluru locality centroid,locality-level,Biryani,Quick Bites,150,Budget,3.3,6,False,False,
8866,New Chickpete Donne Biryani,Bengaluru,Yeshwantpur,"13/12, Opposite Ullas Theater, Marappan Palya, Yeshwanthpur Industrial Yeshwantpur, Bangalore",13.0238,77.5529,Bengaluru locality centroid,locality-level,Biryani,Quick Bites,300,Budget,3.1,6,True,False,
8867,Food Point Family Restauarant,Bengaluru,Electronic City,"12th Cross Road, main road, Neeladri Road, Neeladri Nagar, Phase 1, Electronic City, Bengaluru",12.8399,77.677,Bengaluru locality centroid,locality-level,"North Indian, Chinese, Mughlai",Casual Dining,700,Moderate,3.3,6,True,False,
8868,Uttar Karnataka Lunch Home,Bengaluru,Bellandur,"8&9 ,Outer Ring Road, Bellandur , Bangalore",12.9304,77.6784,Bengaluru locality centroid,locality-level,South Indian,Quick Bites,150,Budget,3.1,6,False,False,
8869,Tandoori Club,Bengaluru,Domlur,"Ginger Hotel, 507, Amarjyothi Layout, Domlur, Bangalore",12.9609,77.6387,Bengaluru locality centroid,locality-level,"North Indian, Chinese, Biryani",Delivery,400,Moderate,3.5,6,True,False,
8870,Anju's Cafe,Bengaluru,Indiranagar,"2906 & 2907, 80 Feet Road, Near BSNL compound, HAL 3rd Stage, Kodihalli, Indiranagar, Bangalore",12.9784,77.6408,Bengaluru locality centroid,locality-level,"Fast Food, North Indian, Continental",Quick Bites,400,Moderate,3.4,6,False,False,
8871,Bangalore Grill House,Bengaluru,Thippasandra,"44, Krishna Reddy Complex,Byrasandra Main Road, GM Palya, Bangalore",12.9738,77.6546,Bengaluru locality centroid,locality-level,"Arabian, BBQ, Mexican",Quick Bites,300,Budget,3.2,6,False,False,
8872,SKY FOG,Bengaluru,Thippasandra,"1229, 4th Cross Road, HAL 3rd Stage, New Tippasandra, Bangalore",12.9738,77.6546,Bengaluru locality centroid,locality-level,"Desserts, Ice Cream, Fast Food","Dessert Parlor, Quick Bites",300,Budget,3.1,6,False,False,
8873,Ambur Hot Dum Biriyani,Bengaluru,Jeevan Bhima Nagar,"19, 10th Main Road, Opposite Spicy Corner, Jeevan Bhima Nagar, Bangalore",12.9669,77.6575,Bengaluru locality centroid,locality-level,Biryani,Quick Bites,200,Budget,3.1,6,False,False,
8874,Bachelor's Special Biriyani,Bengaluru,Electronic City,"99, Bettadasamapura Road, Dodda Bhoguru, Electronic City, Bangalore",12.8399,77.677,Bengaluru locality centroid,locality-level,"Biryani, North Indian, South Indian",Quick Bites,250,Budget,3.3,6,False,False,
8875,A M Biryani Hotel,Bengaluru,Bannerghatta Road,"958/60/A2A, Opposite BGS School, Hulimavu, Bannerghatta Road, Bangalore",12.8906,77.596,Bengaluru locality centroid,locality-level,"North Indian, Chinese, Biryani, Fast Food",Quick Bites,300,Budget,3.3,6,True,False,
8876,Delicious Ice Cream Parlour,Bengaluru,Jeevan Bhima Nagar,"M32, Opposite Yes Bank ATM, Jeevan Bhima Nagar, Bangalore",12.9669,77.6575,Bengaluru locality centroid,locality-level,"Ice Cream, Desserts",Dessert Parlor,300,Budget,3.2,6,False,False,
8877,Lumbini Snax,Bengaluru,Basavanagudi,"1 , National High School Road, VV Puram, Basavanagudi, Bangalore",12.9416,77.5753,Bengaluru locality centroid,locality-level,"Burger, Fast Food, Italian",Quick Bites,300,Budget,3.4,6,False,False,
8878,Gowdru Military Hotel,Bengaluru,Basavanagudi,"92, 1st main Road, 9th cross, Chamarajpet, Basavanagudi, Bangalore",12.9416,77.5753,Bengaluru locality centroid,locality-level,"Biryani, Seafood, South Indian",Quick Bites,150,Budget,3.3,6,False,False,
8879,Joshi's Mumbai Masala,Bengaluru,Basavanagudi,"166/2, 4th Main, 7th Cross, Chamarajpet, Basavanagudi, Bangalore",12.9416,77.5753,Bengaluru locality centroid,locality-level,"Street Food, Fast Food",Quick Bites,150,Budget,3.3,6,False,False,
8880,Sree Gajanana Fruit Juice Centre,Bengaluru,Kammanahalli,"46, Nehru Road, Near Niti Jewellery, Kammanahalli, Bangalore",13.0093,77.6377,Bengaluru locality centroid,locality-level,"Juices, Fast Food",Quick Bites,150,Budget,3.3,6,False,False,
8881,Banarasi Chat Centre,Bengaluru,Kammanahalli,"404, HRBR Layout, 3rd Block, Mariyappa Circle, Opposite Jala Vayu Vihar, Kammanahalli Main Road, Kammanahalli, Bangalore",13.0093,77.6377,Bengaluru locality centroid,locality-level,Street Food,Quick Bites,150,Budget,3.2,6,False,False,
8882,AutoExpress - Hot Dogs,Bengaluru,Indiranagar,"12th Main, Near Monkey Bar, Indiranagar, Bangalore",12.9784,77.6408,Bengaluru locality centroid,locality-level,Fast Food,"Takeaway, Delivery",300,Budget,3.3,6,True,False,
8883,Innate,Bengaluru,Indiranagar,"Room 4 , St Mary's Building, 39/1, Appareadypalya, 2nd stage, Indiranagar, Bangalore",12.9784,77.6408,Bengaluru locality centroid,locality-level,Beverages,Delivery,400,Moderate,3.1,6,False,False,
8884,Cake Dilim,Bengaluru,Electronic City,"Inside Food Court, Electronic City, Bangalore",12.8399,77.677,Bengaluru locality centroid,locality-level,"Bakery, Desserts",Bakery,400,Moderate,3.2,6,False,False,
8885,Faasos,Bengaluru,Jayanagar,"Jay Nagar, 38 /3 RV Road, Basavanagudi, Bangalore",12.9308,77.5838,Bengaluru locality centroid,locality-level,"North Indian, Biryani, Fast Food",Quick Bites,500,Moderate,3.4,6,True,False,
8886,Sree Abhiruchi,Bengaluru,Thippasandra,"G-M Palya Main Road, New, Thippasandra, Bangalore",12.9738,77.6546,Bengaluru locality centroid,locality-level,"Andhra, Biryani",Quick Bites,400,Moderate,3.4,6,False,False,
8887,Chai Resto,Bengaluru,Jeevan Bhima Nagar,"16-18, LIC Colony, HAL 3rd Stage, Sector 11, Jeevan Bhima Nagar, Bangalore",12.9669,77.6575,Bengaluru locality centroid,locality-level,"Fast Food, Tea",Quick Bites,200,Budget,3.4,6,False,False,
8888,Vasu Biriyani Paradise,Bengaluru,Electronic City,"Behind Poonam Furniture, Chikka Togur Gate, Electronic City, Bangalore",12.8399,77.677,Bengaluru locality centroid,locality-level,"North Indian, Biryani, Chinese",Quick Bites,350,Budget,3.1,6,False,False,
8889,NH7 Resto Pub,Bengaluru,Electronic City,"The Sahar Pavilion, 2224/2225, Kudlu Gate, Singasandra, Hosur Road, Electronic City, Bangalore",12.8399,77.677,Bengaluru locality centroid,locality-level,"Andhra, Chinese, Continental","Casual Dining, Pub",1400,Premium,3.3,6,False,False,
8890,Green Tree Garden Restaurant,Bengaluru,Electronic City,"156/2, Margodanahalli Post, Shekaripalya, Hulimangala Taluk, Phase 1, Electronic City, Bangalore",12.8399,77.677,Bengaluru locality centroid,locality-level,"Chinese, Hyderabadi, Mughlai, South Indian",Casual Dining,500,Moderate,3.4,6,False,False,
8891,Choconut Cafe,Bengaluru,Electronic City,"47/9, Nanjunda Reddy Complex, Near velankanni Teck Park, Electronic City, Bangalore",12.8399,77.677,Bengaluru locality centroid,locality-level,"Fast Food, Beverages",Quick Bites,250,Budget,3.4,6,False,False,
8892,Lakshmi Bhog Sweets and Snacks,Bengaluru,CV Raman Nagar,"Shop 40, Narsimbha Complex, GM Palya, Near Bagyame Tech park, Bysandra Main Road, CV Raman Nagar, Bangalore",12.9855,77.6639,Bengaluru locality centroid,locality-level,"Chinese, North Indian",Quick Bites,250,Budget,3.4,6,True,False,
8893,Bite Sip Repeat,Bengaluru,Electronic City,"Muniswamy Layout, Phase 2, Electronic City, Bangalore",12.8399,77.677,Bengaluru locality centroid,locality-level,"Fast Food, South Indian, North Indian",Quick Bites,150,Budget,3.4,6,False,False,
8894,E - City Combos,Bengaluru,Electronic City,"30 Sai Baba Temple Street, Electronic city 1st Phase, Electronic City, Bangalore",12.8399,77.677,Bengaluru locality centroid,locality-level,"South Indian, North Indian, Chinese, Biryani","Takeaway, Delivery",350,Budget,3.5,6,True,False,
8895,Paanwadi,Bengaluru,HSR,"764, 22nd Cross, HSR Club Road, 3rd Sector, HSR Layout, Bangalore, HSR, Bangalore",12.9121,77.6446,Bengaluru locality centroid,locality-level,"Desserts, Paan",Dessert Parlor,100,Budget,3.3,6,False,False,
8896,Havmor - Hav Funn,Bengaluru,HSR,"434, Ground Floor, J.R.Arcade, 17th Cross Road, Sector 4, HSR, Bangalore",12.9121,77.6446,Bengaluru locality centroid,locality-level,Ice Cream,Dessert Parlor,300,Budget,3.3,6,False,False,
8897,Dream Coffee House,Bengaluru,Malleshwaram,"483, Swetha Mansion Complex, 5th Cross Malleshwaram Circle, Malleshwaram, Bengaluru",13.0031,77.5643,Bengaluru locality centroid,locality-level,"Cafe, Bakery",Cafe,300,Budget,3.2,6,False,False,
8898,BBQ King,Bengaluru,Marathahalli,"50, Opposite Alpine Eco, Near Rainbow Hospital, Doddanekundi Main Road, Marathahalli",12.9591,77.6974,Bengaluru locality centroid,locality-level,"Fast Food, Chinese, Burger, Hot dogs, Sandwich",Casual Dining,400,Moderate,3.4,6,False,False,
8899,Jai Bhavani Savaji Hotel,Bengaluru,Vijay Nagar,"28, 8, 2nd Main Road, Hoshalli Extension, Vijay Nagar, Bangalore",12.9719,77.5304,Bengaluru locality centroid,locality-level,"South Indian, Biryani",Quick Bites,400,Moderate,2.9,6,False,False,
8900,Bombay Kulfis,Bengaluru,Rajajinagar,"356, Drive Rajkumar Road, 6th Block, Rajajinagar, Bangalore",12.9982,77.553,Bengaluru locality centroid,locality-level,Ice Cream,Dessert Parlor,200,Budget,3.3,6,False,False,
8901,New Prashantha Naati Corner,Bengaluru,Rajajinagar,"141,12th Cross Road, 6th Main, West of Chord Road, Mahalakshmipuram, Rajajinagar, Bangalore",12.9982,77.553,Bengaluru locality centroid,locality-level,South Indian,Quick Bites,400,Moderate,3.3,6,False,False,
8902,Srushti Veg,Bengaluru,Majestic,"70, SC Road Majestic, Bangalore",12.9767,77.5713,Bengaluru locality centroid,locality-level,"North Indian, South Indian, Chinese",Casual Dining,600,Moderate,3.3,6,False,False,
8903,Andhra Vantillu,Bengaluru,Marathahalli,"89/1, Thimma Reddy Layout, Behind More Market, Marathahalli, Bangalore",12.9591,77.6974,Bengaluru locality centroid,locality-level,"South Indian, North Indian",Quick Bites,350,Budget,3.3,6,False,False,
8904,Udupi Upachar,Bengaluru,Magadi Road,"70/1, Near Metro Station, Magadi Main Road, Magadi Road, Bangalore",12.975,77.535,Bengaluru locality centroid,locality-level,"South Indian, North Indian, Chinese",Quick Bites,250,Budget,3.3,6,False,False,
8905,Indian Chicken Biryani Point,Bengaluru,Vijay Nagar,"80,2nd Main Road, 22nd Cross, Govindraj Nagar, Vijay Nagar, Bangalore",12.9719,77.5304,Bengaluru locality centroid,locality-level,Biryani,Quick Bites,250,Budget,3.1,6,False,False,
8906,Hotel Shri Raghavendra,Bengaluru,Majestic,"Majestic Bus Stop, Majestic, Bangalore",12.9767,77.5713,Bengaluru locality centroid,locality-level,"South Indian, North Indian",Quick Bites,150,Budget,3.0,6,False,False,
8907,Cafe Coffee Day,Bengaluru,Residency Road,"1st Floor, Opposite Mayo Hall, Residency Road, Bangalore",12.969,77.603,Bengaluru locality centroid,locality-level,"Cafe, Fast Food",Cafe,900,Premium,3.0,6,False,False,
8908,Ammachide Addukala,Bengaluru,Bannerghatta Road,"Mutrswamy Layout, 8th Cross, Hulimavu, Bannerghatta Road, Bangalore",12.8906,77.596,Bengaluru locality centroid,locality-level,Kerala,Quick Bites,300,Budget,3.5,6,False,False,
8909,Dinemaster Gogo's,Bengaluru,Hosur Road,"Shop 2, 953/B, 60 Feet Main Road, AECS Layout - A Block, Hal Layout, Singasandra, Hosur Road, Bangalore",12.89,77.64,Bengaluru locality centroid,locality-level,"Chinese, Rolls, Beverages",Quick Bites,300,Budget,3.4,6,True,False,
8910,Basaveshwara Khanavali,Bengaluru,Marathahalli,"8,Srikar Arcade Opp Total Mall, Marathahalli, Bangalore",12.9591,77.6974,Bengaluru locality centroid,locality-level,South Indian,Quick Bites,400,Moderate,3.5,6,False,False,
8911,Andhra Mess,Bengaluru,Nagawara,"76/1, Service Road, Opposite to Manpho Expo Ac Post, Nagawara, Bangalore",13.0435,77.6187,Bengaluru locality centroid,locality-level,"Biryani, Kebab",Mess,300,Budget,3.3,6,True,False,
8912,Reddy Restaurant,Bengaluru,Electronic City,"2nd Floor, Ruchitha Complex, Anekal Road, Chandapura, Electronic City, Bangalore",12.8399,77.677,Bengaluru locality centroid,locality-level,South Indian,Quick Bites,300,Budget,3.2,6,False,False,
8913,Nirvana Bar - Manipal County,Bengaluru,Electronic City,"Manipal County, 65, Singasandra, Electronic City, Bangalore",12.8399,77.677,Bengaluru locality centroid,locality-level,Finger Food,Bar,1000,Premium,3.3,6,False,False,
8914,Meat And Eat,Bengaluru,Electronic City,"11, Ramaiah Layout, Opposite R K Green Land, Anekal Road, Chandapura, Electronic City, Bangalore",12.8399,77.677,Bengaluru locality centroid,locality-level,"Fast Food, Burger",Quick Bites,500,Moderate,3.3,6,True,False,
8915,Gelato Italiano,Bengaluru,Residency Road,"A14, Devatha Plaza, Residency Road, Bangalore",12.969,77.603,Bengaluru locality centroid,locality-level,"Ice Cream, Bakery, Desserts",Dessert Parlor,200,Budget,3.2,6,False,False,
8916,Chackochi Mess,Bengaluru,Bommanahalli,"Beside Nandi Toyota Showroom, Garve Bhavi Palya, Hosur Main Road, Bommanahalli, Bangalore",12.9029,77.6242,Bengaluru locality centroid,locality-level,"Kerala, South Indian",Mess,250,Budget,3.3,6,False,False,
8917,Donne Biryani House,Bengaluru,HSR,"Lavanya Serenity,No 13 D Cross,Venkatapura Extension, HSR, Bangalore",12.9121,77.6446,Bengaluru locality centroid,locality-level,Biryani,Quick Bites,250,Budget,3.2,6,False,False,
8918,Punjabites,Bengaluru,JP Nagar,"1260 SY 35/4 SJR Tower's, JP Nagar 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",12.9063,77.5857,Bengaluru locality centroid,locality-level,"North Indian, Charcoal Chicken","Takeaway, Delivery",400,Moderate,3.7,6,True,False,
8919,Blue Heaven Bar And Restaurant,Bengaluru,Majestic,"37, SC Road, KG Circle, Majestic, Bangalore",12.9767,77.5713,Bengaluru locality centroid,locality-level,"Chinese, North Indian",Bar,750,Moderate,3.2,6,False,False,
8920,Coffee House,Bengaluru,Majestic,"2,Hospital Road, Majestic, Bangalore",12.9767,77.5713,Bengaluru locality centroid,locality-level,South Indian,Quick Bites,150,Budget,3.3,6,False,False,
8921,S-Aachies Hotel,Bengaluru,Banaswadi,"205, 4th 'D'Cross, 2nd Main, Kasturi Nagar, Banaswadi, Bangalore",13.0142,77.6519,Bengaluru locality centroid,locality-level,"South Indian, Chinese, Biryani",Quick Bites,300,Budget,3.2,6,False,False,
8922,I Siri Restaurant And Caterers,Bengaluru,Electronic City,"6, 59-1, Velankani Tech Park Road, Doddathogur, Phase 1, Electronic City, Bangalore",12.8399,77.677,Bengaluru locality centroid,locality-level,"North Indian, South Indian, Chinese",Quick Bites,400,Moderate,3.4,6,False,False,
